호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,4총합,05시-06시 승차인원,05시-06시 하차인원,5총합,06시-07시 승차인원,06시-07시 하차인원,6총합,07시-08시 승차인원,07시-08시 하차인원,7총합,08시-09시 승차인원,08시-09시 하차인원,8총합,09시-10시 승차인원,09시-10시 하차인원,9총합,10시-11시 승차인원,10시-11시 하차인원,10총합,11시-12시 승차인원,11시-12시 하차인원,11총합,12시-13시 승차인원,12시-13시 하차인원,12총합,13시-14시 승차인원,13시-14시 하차인원,13총합,14시-15시 승차인원,14시-15시 하차인원,14총합,15시-16시 승차인원,15시-16시 하차인원,15총합,16시-17시 승차인원,16시-17시 하차인원,16총합,17시-18시 승차인원,17시-18시 하차인원,17총합,18시-19시 승차인원,18시-19시 하차인원,18총합,19시-20시 승차인원,19시-20시 하차인원,19총합,20시-21시 승차인원,20시-21시 하차인원,20총합,21시-22시 승차인원,21시-22시 하차인원,21총합,22시-23시 승차인원,22시-23시 하차인원,22총합,23시-24시 승차인원,23시-24시 하차인원,23총합,00시-01시 승차인원,00시-01시 하차인원,24총합,01시-02시 승차인원,01시-02시 하차인원,1총합,02시-03시 승차인원,02시-03시 하차인원,2총합,03시-04시 승차인원,03시-04시 하차인원,3총합
2호선,강남,160,11,171,8655,12033,20688,18221,55207,73428,40387,158391,198778,63749,306120,369869,55464,318875,374339,58090,155293,213383,76033,109319,185352,92545,107640,200185,108792,123821,232613,119338,109792,229130,145423,104716,250139,172540,113979,286519,250093,146469,396562,317800,186487,504287,216856,113971,330827,173723,62212,235935,196571,50420,246991,171155,41116,212271,78222,25058,103280,12818,6649,19467,2,16,18,0,0,0,0,0,0
2호선,강변(동서울터미널),30,0,30,9611,1957,11568,27577,19013,46590,78725,22925,101650,114915,39946,154861,86743,33711,120454,66177,35426,101603,59286,35150,94436,54489,39704,94193,51866,44707,96573,46205,48858,95063,49031,59449,108480,52951,66297,119248,56669,81861,138530,59119,108669,167788,40758,78444,119202,32245,55535,87780,27425,45694,73119,17237,41303,58540,6937,22207,29144,871,5739,6610,1,54,55,0,0,0,0,0,0
2호선,건대입구,348,6,354,15687,1834,17521,22675,16111,38786,55834,24628,80462,95200,65300,160500,66668,55012,121680,43189,50235,93424,42513,53091,95604,50061,58451,108512,54292,64114,118406,56640,64448,121088,61835,71187,133022,71172,85945,157117,83135,117241,200376,94357,163297,257654,74088,114707,188795,75763,70599,146362,83544,64679,148223,86139,57015,143154,53023,33784,86807,8030,11199,19229,11,880,891,1,0,1,0,0,0
2호선,교대(법원.검찰청),20,0,20,2350,6793,9143,11468,26428,37896,26242,58111,84353,37807,156187,193994,30405,132621,163026,29320,70049,99369,33850,62524,96374,36042,57339,93381,43683,59750,103433,52256,52882,105138,55760,49950,105710,59668,52853,112521,96273,67841,164114,131743,75728,207471,65615,44392,110007,56230,27839,84069,54773,25685,80458,43427,23983,67410,16904,13278,30182,3004,3648,6652,0,25,25,0,0,0,0,0,0
2호선,구로디지털단지,295,18,313,39137,4910,44047,52534,19360,71894,141456,80231,221687,181947,220621,402568,118297,136179,254476,73782,57541,131323,67371,47213,114584,73656,51048,124704,73216,61526,134742,65867,61417,127284,70101,70175,140276,82877,87178,170055,133217,113465,246682,199262,165329,364591,100182,133049,233231,65517,89743,155260,54555,88979,143534,41590,84893,126483,19322,50440,69762,3323,13787,17110,1,93,94,0,0,0,0,0,0
2호선,구의(광진구청),65,5,70,13553,1468,15021,27223,28820,56043,71351,17024,88375,118578,39347,157925,75743,23392,99135,41850,21807,63657,34915,21920,56835,36703,24640,61343,35210,28653,63863,32608,30176,62784,34355,39012,73367,43763,45702,89465,45217,62671,107888,44994,98005,142999,25852,73262,99114,20596,49745,70341,18600,47080,65680,16648,42464,59112,8989,24964,33953,1372,7542,8914,3,117,120,0,0,0,0,0,0
2호선,낙성대(강감찬),31,1,32,11804,2277,14081,27423,9958,37381,84392,22526,106918,122861,46446,169307,83124,37854,120978,47754,32120,79874,41631,27987,69618,45096,28734,73830,44897,31929,76826,41069,33797,74866,41184,40771,81955,44943,47460,92403,49932,64099,114031,55763,103731,159494,32247,86225,118472,25819,58788,84607,24246,56029,80275,18836,56300,75136,10350,34461,44811,1726,9206,10932,3,220,223,0,0,0,0,0,0
2호선,당산,50,4,54,6876,3560,10436,16281,12442,28723,45615,28046,73661,56663,72861,129524,36493,33354,69847,27050,18830,45880,25662,17333,42995,26157,20543,46700,25319,23062,48381,22879,23569,46448,24488,28250,52738,28704,35576,64280,42590,50109,92699,56296,73071,129367,25872,50798,76670,20406,34160,54566,20632,33503,54135,17037,30645,47682,8271,20508,28779,1175,4751,5926,0,131,131,0,0,0,0,0,0
2호선,대림(구로구청),620,20,640,36093,3108,39201,29441,10169,39610,68285,22124,90409,92844,54689,147533,64128,36675,100803,42644,35506,78150,38036,38799,76835,39458,35639,75097,38251,35318,73569,36294,36297,72591,37864,44984,82848,40028,54495,94523,46259,63682,109941,51075,70202,121277,28012,53322,81334,19937,40479,60416,15482,50091,65573,11308,46685,57993,5849,23384,29233,674,5732,6406,1,153,154,0,0,0,0,0,0
2호선,도림천,0,0,0,540,460,1000,1282,906,2188,3383,4323,7706,3684,5386,9070,2447,1854,4301,2153,1559,3712,1712,1479,3191,2420,2009,4429,1933,1629,3562,2441,2085,4526,2648,1896,4544,3217,2227,5444,2993,2679,5672,3603,3419,7022,1769,2778,4547,1088,2014,3102,906,1759,2665,494,1418,1912,197,1082,1279,58,342,400,1,16,17,0,0,0,0,0,0
